Geo_Code,Region,Province,Province - Postal,Latitude,Longitude,English and French, English only,French only,Neither English nor French,Average number of children at home per census family,Average number of persons in private households,Average number of persons per census family,Census-family households,Number of census family persons,Population in 2011,Total Private dwellings occupied by usual residents,Total children in census families in private households,Total couple families by family structure and number of children,Total number of census families in private households: note 7,Total number of census families in private households: note 8,Total number of persons aged 65 years and over in private households,Total number of persons in private households,Total private dwellings
H2S,Petite-Patrie Southwest,Quebec,QC,45.5354,-73.6061,16515,760,7945,420,0.8,1.8,2.6,5575,14495,25931,14280,4330,4545,5625,5630,2210,25375,15161
H2T,Plateau Mont-Royal West,Quebec,QC,45.5247,-73.5953,10845,1360,3225,390,0.8,1.9,2.6,3450,9150,15911,8257,2890,2765,3500,3500,1510,15445,8846
H2V,Outremont,Quebec,QC,45.5168,-73.6072,20530,4520,4165,1245,1.3,2.4,3.2,7170,22990,30465,12647,9755,5995,7240,7235,3670,29895,13690
H2W,Plateau Mont-Royal South Central,Quebec,QC,45.5176,-73.5804,7590,1435,1795,185,0.7,1.8,2.6,2215,5695,11071,6012,1630,1835,2230,2230,945,10955,6887
H2X,Plateau Mont-Royal Southeast,Quebec,QC,45.5115,-73.5683,11020,4495,2430,650,0.7,1.5,2.5,2940,7540,19432,11834,2075,2490,2970,2975,2180,18320,14501
H2Y,Old Montreal,Quebec,QC,45.5057,-73.555,2670,355,405,25,0.4,1.6,2.3,875,1990,3457,2119,325,790,880,875,405,3345,2715
H2Z,Downtown Montreal Northeast,Quebec,QC,45.5052,-73.5622,950,365,160,265,0.5,1.6,2.4,405,980,1961,1029,210,355,415,415,375,1695,1293
H3A,Downtown Montreal North,Quebec,QC,45.504,-73.5747,2100,1440,155,65,0.8,1.7,2.6,670,1795,3784,2224,540,575,675,680,385,3740,2926
H3B,Downtown Montreal East,Quebec,QC,45.5005,-73.5684,230,90,10,10,0.6,1.4,2.4,40,95,339,224,20,30,40,40,5,315,430
H3C,Griffintown (Includes Île Notre-Dame & Île Sainte-Hélène),Quebec,QC,45.498,-73.5472,4855,1065,590,70,0.5,1.7,2.4,1610,3855,6617,3958,755,1475,1625,1620,515,6570,4806
H3E,L'Île-Des-Soeurs,Quebec,QC,45.4594,-73.5501,13180,1845,2825,420,0.9,2.1,2.7,5075,13930,18318,8786,4355,4455,5120,5115,3035,18020,9286
H3G,Downtown Montreal Southeast,Quebec,QC,45.4987,-73.5793,4835,1965,250,75,0.6,1.7,2.5,1530,3855,7149,4107,925,1385,1540,1540,1555,7055,5148
H3H,Downtown Montreal South & West,Quebec,QC,45.5009,-73.5877,9820,6315,1120,415,0.6,1.6,2.5,3090,7850,17737,10677,2000,2725,3125,3125,2140,17365,12485
H3J,Petite-Bourgogne,Quebec,QC,45.4861,-73.5732,5755,2070,1795,315,1.3,2.1,3,2280,7085,10244,4608,3065,1675,2350,2350,1030,9855,4899
H3K,Pointe-Saint-Charles,Quebec,QC,45.4805,-73.5554,7940,2005,3605,225,1.1,2,2.8,3265,9170,13924,6983,3530,2315,3320,3320,1300,13750,7571
H3L,Ahuntsic Southwest,Quebec,QC,45.5467,-73.6718,10875,680,6850,425,1.1,2.1,2.9,4630,13570,19704,9098,5115,3775,4675,4680,2540,18700,9782
H3M,Cartierville Northeast,Quebec,QC,45.5383,-73.6932,8845,1905,3520,685,1.1,2.4,3,3995,12120,15091,6339,4655,3370,4090,4085,3225,14925,6668
H3N,Parc-Extension,Quebec,QC,45.5302,-73.6327,12115,9375,4570,3190,1.3,2.4,3.1,7025,22630,29284,12108,9580,5740,7310,7315,4070,29255,13061
H3P,Mount Royal North,Quebec,QC,45.5217,-73.6393,7800,875,1290,115,1.3,2.7,3.2,2785,8900,10339,3640,3660,2410,2825,2825,1700,9985,3768
H3R,Mount Royal Central,Quebec,QC,45.5101,-73.6478,7450,985,1100,140,1.3,2.6,3.2,2590,8345,9674,3645,3445,2290,2605,2605,1640,9630,3813
H3S,Côte-des-Neiges North,Quebec,QC,45.5063,-73.6297,17315,8285,6290,1320,1.3,2.3,3.1,7715,24195,33274,14281,10125,6190,7880,7875,3575,33115,15598
H3T,Côte-des-Neiges Northeast,Quebec,QC,45.5018,-73.6191,8480,1200,2660,210,0.9,1.9,2.7,2450,6795,12638,6331,2295,2020,2475,2480,1305,11975,7233
H3V,Côte-des-Neiges East,Quebec,QC,45.499,-73.6089,4705,860,925,90,0.7,1.6,2.5,1335,3395,6619,3967,950,1105,1340,1345,1410,6535,4322
H3W,Côte-des-Neiges Southwest,Quebec,QC,45.4897,-73.6312,15320,10610,3270,1165,1.3,2.4,3.1,7090,22610,31071,12353,9640,5675,7300,7300,3440,30175,13284
H3X,Hampstead,Quebec,QC,45.4819,-73.6421,15300,5515,2045,385,1.2,2.3,3,5770,17605,23261,10093,6895,4835,5870,5870,3795,23025,10903
H3Y,Westmount West,Quebec,QC,45.4876,-73.6045,8020,1485,210,25,1.3,2.9,3.2,2735,8855,9745,3372,3650,2450,2760,2760,1465,9680,3589
H3Z,Westmount East,Quebec,QC,45.4825,-73.5933,8245,2715,310,120,0.8,1.9,2.7,2735,7330,11597,5928,2290,2290,2750,2755,2940,11065,6613
H4A,Notre-Dame-de-GrÔce Northeast,Quebec,QC,45.4717,-73.6149,18680,4460,2140,365,1.1,2.2,2.9,6415,18520,26015,11712,6820,5205,6490,6495,2935,25505,12728
H4B,Notre-Dame-de-GrÔce Southwest,Quebec,QC,45.4604,-73.6303,12405,5285,1855,635,1.1,2,2.8,4875,13895,20375,10173,5220,3755,4915,4920,2615,20100,10807
H4C,Saint-Henri,Quebec,QC,45.4737,-73.5882,9685,1445,4225,170,0.9,1.8,2.6,3520,9250,15804,8461,3035,2650,3565,3565,1465,15515,9114
H4E,Ville Émard,Quebec,QC,45.4546,-73.5985,16120,2525,10425,865,1,2,2.7,7690,21210,30231,14784,7495,5915,7800,7800,4515,29910,15577
H4G,Verdun North,Quebec,QC,45.4643,-73.5698,16530,3225,8390,625,0.8,1.9,2.6,6950,18215,28965,14899,5885,5280,7050,7050,3115,28380,16083
H4H,Verdun South,Quebec,QC,45.4459,-73.5815,11320,2375,4735,100,0.9,2,2.7,4945,13455,19082,9057,4670,3780,5000,5000,2830,18510,9514
H4J,Cartierville Central,Quebec,QC,45.5313,-73.7091,8490,1965,6035,790,1.3,2.4,3.1,4115,13035,17692,6946,5545,3280,4210,4210,1870,16615,7575
H4K,Cartierville Southwest,Quebec,QC,45.5171,-73.7363,7245,1220,2140,585,1.3,2.8,3.1,2945,9490,11220,3855,3835,2625,3030,3030,1970,10740,4006
H4L,Saint-Laurent Inner Northeast,Quebec,QC,45.517,-73.6831,19120,5680,8065,1985,1.3,2.5,3.1,8845,28000,35480,13746,11585,7330,9085,9085,5490,34340,14483
H4M,Saint-Laurent East,Quebec,QC,45.4979,-73.6886,8075,2130,1650,410,1.3,2.8,3.2,3270,10745,12271,4409,4545,2825,3375,3375,1795,12260,4643
H4N,Saint-Laurent Outer Northeast,Quebec,QC,45.5263,-73.6649,14095,3215,7475,1390,1.4,2.4,3.2,6415,20800,26173,10669,8965,5280,6550,6550,3625,26050,11400
H4P,Mount Royal South,Quebec,QC,45.4964,-73.6647,2560,1155,620,230,1.2,2.3,3,1145,3550,4569,1953,1390,975,1180,1180,485,4570,2115
H4R,Saint-Laurent Central,Quebec,QC,45.5049,-73.7142,15505,4290,3400,850,1.2,2.5,3,6465,19860,24049,9551,7615,5630,6615,6615,3330,23555,9989
H4S,Saint-Laurent Southwest,Quebec,QC,45.4858,-73.7433,355,70,70,5,0.9,2.3,2.8,150,425,502,215,150,130,150,150,45,500,222
H4T,Saint-Laurent Southeast,Quebec,QC,45.4752,-73.6961,,,,,,,,,,0,1,,,,,,,1
H4V,Côte-Saint-Luc East,Quebec,QC,45.4671,-73.6487,12200,5610,1990,685,1.2,2.3,2.9,5385,16130,20676,8928,6570,4085,5475,5475,3525,20475,9673
H4W,Côte-Saint-Luc West,Quebec,QC,45.4649,-73.6828,14975,6700,1730,550,1.2,2.4,3,6385,19445,24500,9858,7445,5530,6470,6470,5900,23420,10386
H4X,Montreal West,Quebec,QC,45.4529,-73.6492,4630,1470,245,70,1.3,2.6,3.1,1845,5690,6426,2443,2320,1515,1855,1855,955,6415,2565
H4Y,Dorval Central,Quebec,QC,45.8654,-72.7614,,,,,,,,,,5,3,,,,,,,3
H4Z,Tour de la Bourse,Quebec,QC,45.5061,-73.5573,,,,,,,,,,0,0,,,,,,,0
H5A,Place Bonaventure,Quebec,QC,45.4992,-73.5646,,,,,,,,,,0,0,,,,,,,0
H5B,Place Desjardins,Quebec,QC,45.5066,-73.5623,,,,,,,,,,5,2,,,,,,,2
H7A,Duvernay-Est,Quebec,QC,45.6739,-73.5924,8465,290,10085,205,1.3,2.9,3.1,5365,17040,19153,6565,6975,4535,5525,5520,1865,19000,6754
H7B,Saint-Franþois,Quebec,QC,45.6757,-73.6388,1205,20,1675,25,1.3,2.9,3.1,815,2620,3059,1020,1065,720,830,830,290,2925,1030
H7C,Saint-Vincent-de-Paul,Quebec,QC,45.6168,-73.6492,3850,140,3800,70,1,2.3,2.8,2190,6300,8925,3459,2310,1770,2225,2225,1540,7850,3675
H7E,Duvernay,Quebec,QC,45.6236,-73.6748,16155,645,8205,270,1.1,2.6,3,7335,22360,25417,9539,8580,6320,7455,7455,4320,25225,9730
H7G,Pont-Viau,Quebec,QC,45.5771,-73.6873,10045,390,9510,250,1,2.3,2.8,5450,15545,20318,8627,5615,4390,5540,5540,3720,19445,9120
H7H,Auteuil West,Quebec,QC,45.6409,-73.7542,6615,200,5950,120,1.2,2.7,3,3705,11420,12946,4705,4560,3085,3770,3770,1135,12880,4781
H7J,Auteuil Northeast,Quebec,QC,45.6625,-73.7002,1130,35,1085,10,0.9,2.5,2.8,655,1860,2269,856,610,575,670,670,325,2135,895
H7K,Auteuil South,Quebec,QC,45.6213,-73.7398,13155,505,7845,195,1.2,2.8,3.1,6255,19675,21903,7730,7915,5405,6365,6360,2285,21685,7842
H7L,Sainte-Rose,Quebec,QC,45.6168,-73.7825,19375,620,14330,305,1.3,2.7,3.1,9780,30760,34917,12666,12430,8425,9905,9905,3050,34415,12920
H7M,Vimont,Quebec,QC,45.5984,-73.7159,15945,680,10615,415,1.1,2.5,2.9,7690,23050,27697,10870,8660,6525,7865,7870,4465,27030,11073
H7N,Laval-des-Rapides,Quebec,QC,45.5501,-73.6992,20775,1260,16600,745,1,2.1,2.8,10225,28840,39752,18072,10225,8190,10425,10425,6095,38400,18875
H7P,Fabreville,Quebec,QC,45.578,-73.8004,18275,1205,12990,490,1.2,2.7,3,9660,29740,32979,12030,11480,8380,9885,9885,4035,32960,12217
H7R,Laval-sur-le-Lac,Quebec,QC,45.5526,-73.8507,14910,1040,12085,345,1.2,2.7,3,7975,24665,28653,10274,9590,6885,8200,8200,2705,27875,10541
H7S,Chomedey Northeast,Quebec,QC,45.5793,-73.7367,4005,360,2720,160,1.2,2.4,3,1980,5960,7306,3074,2350,1595,2010,2010,1130,7245,3176
H7T,Chomedey Northwest,Quebec,QC,45.5573,-73.7725,12725,1635,5135,685,1.1,2.5,3,5600,17150,20438,8032,6495,4905,5755,5755,2615,20180,8303
H7V,Chomedey East,Quebec,QC,45.5478,-73.7368,11115,1780,7780,730,1.1,2.1,2.8,5185,15135,21888,9585,5615,4210,5320,5320,4970,20255,10213
H7W,Chomedey South,Quebec,QC,45.5338,-73.7652,24380,6600,6980,1670,1.1,2.5,3,11030,33600,39792,15743,12770,9475,11360,11360,8145,39425,16523
H7X,Sainte-Dorothée,Quebec,QC,45.5334,-73.8159,16325,2040,6045,550,1.3,2.9,3.2,6950,22700,25162,8540,9265,6275,7155,7155,2475,24830,8700
H7Y,Îles-Laval,Quebec,QC,45.5284,-73.8509,6170,460,2230,125,1.3,2.9,3.2,2580,8335,8979,3069,3410,2300,2625,2625,655,8980,3141
H8N,LaSalle Northwest,Quebec,QC,45.438,-73.6215,15665,5765,4715,1140,1.1,2.3,2.9,7420,21760,27341,11624,8200,5950,7605,7610,4895,27075,12173
H8P,LaSalle Southeast,Quebec,QC,45.4152,-73.6107,13705,3020,4815,330,1,2.1,2.8,5755,16105,22346,10235,5640,4635,5825,5830,4225,21340,10813
H8R,Saint-Pierre,Quebec,QC,45.4163,-73.6558,16570,5420,6830,655,1.2,2.3,2.9,7785,22920,29849,12921,9175,5810,7935,7935,3880,29360,13886
H8S,Lachine East,Quebec,QC,45.4402,-73.6747,11295,2560,6715,265,1.1,2.1,2.8,5210,14790,21461,9693,5710,3775,5300,5300,2450,20150,10534
H8T,Lachine West,Quebec,QC,45.4419,-73.7057,10120,1830,2350,150,1,2.2,2.9,4020,11605,14663,6478,4200,3360,4045,4050,2045,14440,6729
H8Y,Roxboro,Quebec,QC,45.5084,-73.8075,11635,3285,3295,470,1.3,2.6,3.1,4980,15785,18766,7210,6575,4075,5135,5135,2460,18615,7614
H8Z,Pierrefonds,Quebec,QC,45.5069,-73.8407,9715,3380,1405,330,1.2,2.7,3.1,3985,12775,14892,5467,5165,3470,4135,4135,2235,14780,5634
H9A,Dollard-Des- Ormeaux Northwest,Quebec,QC,45.4948,-73.8317,11165,3570,720,280,1.4,3,3.3,4230,14400,15776,5173,6250,3795,4355,4355,1985,15740,5317
H9B,Dollard-Des- Ormeaux East,Quebec,QC,45.4897,-73.7958,12980,6125,1305,620,1.3,2.8,3.1,5625,18445,21191,7379,7755,4820,5875,5875,3095,20885,7613
H9C,L'Île Bizard Northeast,Quebec,QC,45.5055,-73.8789,8785,945,1945,100,1.3,2.9,3.1,3375,10850,11964,4048,4430,2975,3445,3445,1070,11765,4120
H9E,L'Île-Bizard Southwest,Quebec,QC,45.4865,-73.9092,1950,220,540,15,1.1,2.5,2.9,805,2365,2742,1069,860,685,815,815,345,2715,1133
H9G,Dollard-Des- Ormeaux Southwest,Quebec,QC,45.4756,-73.8367,11110,3835,700,235,1.3,2.8,3.1,4445,14195,15903,5571,5815,3820,4560,4560,2345,15775,5643
H9H,Sainte-Geneviève,Quebec,QC,45.4683,-73.8565,17470,4985,2420,375,1.2,2.6,3.1,6765,21355,25631,9481,8625,5805,6930,6930,3530,24825,9731
H9J,Kirkland,Quebec,QC,45.4501,-73.8659,16765,4065,1260,360,1.3,3,3.2,6315,20755,22552,7465,8715,5565,6475,6470,2310,22450,7651
H9K,Senneville,Quebec,QC,45.4577,-73.9162,5800,1385,615,140,1.5,3.1,3.3,2160,7365,8114,2561,3240,1915,2210,2205,420,7935,2612
H9P,Dorval Outskirts,Quebec,QC,45.4639,-73.7543,2655,885,275,40,1.1,2.5,2.9,1095,3300,3883,1516,1265,910,1120,1120,550,3855,1552
H9R,Pointe-Claire,Quebec,QC,45.4487,-73.8167,15715,6075,955,290,1.2,2.5,3,6225,19185,23121,8827,7500,5350,6330,6330,3690,22310,9091
H9S,L'Île-Dorval,Quebec,QC,45.4414,-73.7749,15355,4520,1535,190,1,2.2,2.9,5845,16870,21999,9718,5980,4975,5910,5910,4255,21315,10331
H9W,Beaconsfield,Quebec,QC,45.4334,-73.8659,14745,4005,430,105,1.3,2.9,3.2,5580,17865,19505,6687,7195,5020,5650,5645,2900,19285,6811
H9X,Sainte-Anne-De- Bellevue,Quebec,QC,45.4062,-73.9456,7140,1795,425,55,1.1,2.5,3,2655,8075,9843,3703,3040,2340,2685,2685,1490,9400,3999
J0A,Centre-du- Québec-Sud (Warwick),Quebec,QC,45.8382,-71.9542,4530,110,14365,25,1,2.4,2.8,5605,16065,19187,7932,5450,4975,5645,5640,2655,18760,8740
J0B,Estrie-Est (Stanstead),Quebec,QC,45.1001,-72.0491,24515,3605,32740,20,0.9,2.4,2.8,18010,51420,61485,25509,17195,16040,18185,18185,9565,60395,30777
J0C,Centre-du- Québec-Ouest (Saint- Bonaventure),Quebec,QC,45.9245,-72.4925,4270,10,17380,25,1,2.4,2.9,6385,18495,21917,8882,6350,5705,6435,6440,2785,21575,9548
J0E,Estrie-Ouest (Fulford),Quebec,QC,45.2831,-72.5244,20440,3225,23505,40,0.9,2.3,2.8,14240,39835,47708,20229,12735,12700,14400,14400,7870,46945,26034
J0G,Bois-Francs-Nord (Odanak),Quebec,QC,46.021,-72.8239,3760,25,15075,10,0.9,2.3,2.8,5625,15700,18907,8211,5095,4935,5670,5670,3085,18780,9207
J0H,Bois-Francs-Sud (Saint-Nazaire- D'Acton),Quebec,QC,45.6609,-72.77,11335,105,39490,55,1,2.5,2.9,15075,44170,51400,20532,15665,13275,15225,15225,6280,50825,21503
J0J,Montérégie-Est (Bedford),Quebec,QC,45.1529,-73.1636,16420,1300,22295,60,1,2.4,2.9,11810,34240,40304,16376,11790,10500,11950,11950,5965,39870,18237
J0K,Lanaudière-Nord (Saint-Esprit),Quebec,QC,46.7966,-73.8705,34700,600,99060,320,0.9,2.3,2.7,39755,110065,135850,58589,35045,34605,40415,40415,22380,133450,72238
J0L,Montérégie-Nord (Saint-Antoine- Sur-Richelieu),Quebec,QC,45.409,-73.3847,22550,600,46625,340,1,2.5,2.9,20665,60160,70341,27784,21040,18120,21000,21000,8495,69210,28936
J0M,Nunavik (Kuujjuaq),Quebec,QC,58.3269,-72.1637,4815,12920,760,3185,2.1,4.1,3.8,4235,19545,21730,5237,11060,3325,5165,5165,845,21650,5822
J0N,Région d'Oka (Oka),Quebec,QC,45.6173,-73.9483,18755,390,26660,115,1.1,2.6,2.9,13400,39960,46784,17406,14690,11625,13650,13650,4335,45435,17946
J0P,Vaudreuil- Soulanges (Coteau-du-Lac),Quebec,QC,45.3655,-74.312,19160,2235,15640,75,1,2.4,2.9,10970,31735,37274,15007,10965,9675,11095,11095,5175,36755,15894
J0R,Lanaudière-Sud (Prévost),Quebec,QC,45.866,-74.1785,19415,850,13305,20,0.8,2.2,2.7,10225,27545,33730,15090,8210,9000,10335,10335,5870,33370,18956
J0S,Montérégie- Ouest (Saint-Anicet),Quebec,QC,45.1082,-74.0451,15660,2690,15265,25,0.9,2.4,2.8,9975,28245,33837,14215,9420,8720,10110,10110,5675,33440,16184
J0T,Laurentides-Nord (Montcalm),Quebec,QC,46.3002,-74.5855,20130,760,25575,25,0.7,2.1,2.6,14160,36625,47088,22346,9995,12360,14275,14275,9495,46280,40752
J0V,Laurentides-Sud (Chénéville),Quebec,QC,45.8265,-74.9318,11485,755,13585,20,0.8,2.2,2.6,7705,20655,26139,11578,6120,6720,7805,7805,4925,25410,16321
J0W,Outaouais-Nord (Ferme-Neuve),Quebec,QC,47.0921,-75.7967,3580,115,12165,5,0.7,2.2,2.6,4945,12950,15953,7201,3610,4350,4990,4995,3155,15635,11367
J0X,Outaouais-Sud (Thurso),Quebec,QC,46.307,-76.7653,23005,9820,11765,15,0.9,2.3,2.7,13430,37370,44986,19043,11890,11795,13680,13680,7630,44300,29972
J0Y,Abitibi- Témiscamingue- Est (Radisson),Quebec,QC,52.1046,-75.2807,6425,1385,20950,215,1.1,2.5,2.9,8305,24815,29086,11504,8990,7320,8510,8510,3150,28810,13042
J0Z,Abitibi- Témiscamingue- Ouest (Guigues),Quebec,QC,47.8626,-78.824,8900,1360,24160,5,1,2.4,2.8,10330,29645,34622,14264,10075,9125,10440,10440,4760,34310,16494
J1A,Coaticook,Quebec,QC,45.1334,-71.7991,3270,85,6035,5,1,2.3,2.9,2665,7665,9494,4066,2750,2235,2680,2680,1680,9300,4306
J1C,Bromptonville,Quebec,QC,45.4797,-71.9492,1980,10,4275,0,1,2.5,2.9,1900,5510,6260,2478,1960,1640,1910,1910,680,6205,2518
J1E,Sherbrooke Northeast,Quebec,QC,45.4231,-71.8723,7525,115,14210,130,0.9,2,2.7,5670,15515,22088,10727,5250,4550,5715,5720,3350,21540,11602
J1G,Sherbrooke East,Quebec,QC,45.4024,-71.8479,6870,100,11550,85,0.9,2.1,2.8,5100,14150,19122,8490,4735,4285,5130,5130,2825,18125,8831
J1H,Sherbrooke Central,Quebec,QC,45.4161,-71.8939,11385,300,15075,345,0.9,1.9,2.7,6275,17070,27776,14547,5920,4840,6315,6310,3555,26925,16020
J1J,Sherbrooke North,Quebec,QC,45.4131,-71.9238,7795,105,6100,25,0.9,2,2.7,3785,10310,14472,6752,3375,3135,3800,3800,2725,13760,7102
J1K,Sherbrooke West,Quebec,QC,45.3822,-71.9327,3495,60,3440,30,0.9,2.1,2.7,1770,4880,7272,3183,1620,1475,1785,1785,1025,6795,4039
J1L,Sherbrooke Northwest,Quebec,QC,45.4113,-71.9586,6180,100,7290,120,0.8,2,2.6,3715,9910,13690,6875,2980,3190,3740,3735,3355,13445,7275
J1M,Sherbrooke Southeast,Quebec,QC,45.3656,-71.842,3180,1090,980,5,1,2.1,2.8,1300,3720,5250,2319,1300,1115,1310,1305,945,4985,2847
J1N,Rock Forest,Quebec,QC,45.3395,-72.0128,11955,105,16595,35,1.1,2.5,2.9,8535,25110,28879,11529,9155,7370,8590,8585,2650,28680,11921
J1R,Saint-Élie-d'Orford,Quebec,QC,45.3966,-72.0422,3420,30,6290,15,1.1,2.7,3,2930,8855,9751,3658,3280,2615,2960,2965,805,9750,3711
J1S,Windsor,Newfoundland and Labrador,NL,45.5668,-71.9991,2065,15,5555,0,1,2.3,2.8,2205,6210,7670,3307,2140,1845,2225,2220,1150,7485,3478
J1T,Asbestos,Quebec,QC,45.7668,-71.9324,1730,15,6125,0,0.8,2.1,2.7,2255,6030,8003,3629,1895,1865,2270,2270,1670,7550,3883
J1X,Magog,Quebec,QC,45.2668,-72.1491,13420,465,15610,20,0.8,2.1,2.7,8775,23570,29958,13675,7100,7625,8850,8845,5755,29275,16720
J1Z,Saint-Cyrille- De-Wendover,Quebec,QC,45.9334,-72.4324,945,5,4190,0,1.1,2.6,3,1480,4495,5170,1934,1670,1330,1500,1500,500,5105,1993
J2A,Drummondville Southeast,Quebec,QC,45.8152,-72.4027,2745,5,8210,10,1.1,2.6,3,3250,9680,10973,4243,3590,2815,3270,3270,875,10960,4422
J2B,Drummondville South,Quebec,QC,45.903,-72.5361,6825,35,20225,110,0.9,2.1,2.7,7535,20705,27597,12809,7055,6075,7575,7575,4255,26895,13500
J2C,Drummondville Central,Quebec,QC,45.8893,-72.5055,8605,40,20295,60,0.9,2,2.7,7795,21225,29684,13703,6810,6570,7845,7845,5175,27880,14286
J2E,Drummondville Northwest,Quebec,QC,45.9099,-72.5289,910,5,3075,15,1.1,2.4,2.9,1155,3360,4005,1690,1220,970,1165,1165,350,4005,1728
J2G,Granby Central,Quebec,QC,45.4046,-72.7202,8875,90,18655,75,0.8,1.9,2.6,7390,19685,28591,14219,6340,5890,7460,7455,5640,27520,14836
J2H,Granby East,Quebec,QC,45.3938,-72.7005,7155,55,9990,35,1,2.6,2.9,5245,15525,17608,6573,5510,4705,5315,5315,1865,17180,6677
J2J,Granby West,Quebec,QC,45.4005,-72.7825,5385,40,11545,45,0.9,2.3,2.8,5010,13920,17147,7382,4605,4265,5045,5045,2410,16720,7567
J2K,Cowansville,Quebec,QC,45.2001,-72.7491,7550,880,6860,10,0.9,2.2,2.8,4430,12325,15636,6785,4175,3685,4465,4465,2555,15110,7168
J2L,Bromont,Quebec,QC,45.3168,-72.6491,4600,65,2975,5,1,2.3,2.8,2290,6505,7642,3291,2195,2005,2305,2305,945,7630,4300
J2M,Shefford,Quebec,QC,45.3501,-72.5658,3170,105,3380,0,0.9,2.6,2.9,2065,6030,6677,2574,1995,1945,2100,2095,690,6660,2747
J2N,Farnham,Quebec,QC,45.2834,-72.9824,2700,65,5405,5,1,2.3,2.8,2335,6630,8330,3617,2285,1990,2355,2355,1265,8175,3852
J2R,Saint-Hyacinthe Northwest,Quebec,QC,45.6567,-72.9237,2385,5,7680,5,1,2.5,2.8,3125,8885,10114,4090,3005,2740,3145,3145,1235,10050,4165
J2S,Saint-Hyacinthe Southwest,Quebec,QC,45.6139,-72.9912,7920,90,18715,125,0.8,1.9,2.6,6975,18540,27896,13756,5915,5590,7035,7030,5300,26255,14701
J2T,Saint-Hyacinthe East,Quebec,QC,45.5971,-72.9366,3825,5,11080,15,0.9,2.2,2.7,4440,12095,15232,6648,3900,3725,4475,4470,2560,14700,6911
J2W,Saint-Luc,Quebec,QC,45.3694,-73.3137,12575,110,15405,15,1.1,2.7,3,8335,25100,28144,10448,9330,7320,8450,8455,2425,27950,10629
J2X,Saint-Jean- sur-Richelieu East,Quebec,QC,45.309,-73.219,6265,80,12105,5,1,2.4,2.8,5330,15365,18761,7637,5480,4480,5400,5400,2515,18280,7858
J2Y,Saint-Jean- sur-Richelieu West,Quebec,QC,45.3114,-73.3556,2225,25,3435,5,1.1,2.7,2.9,1715,5125,5692,2134,1840,1545,1740,1735,600,5690,2167
J3A,Saint-Jean- sur-Richelieu North,Quebec,QC,45.3339,-73.2744,3205,40,5020,10,0.6,1.7,2.4,2090,5055,8426,4694,1330,1630,2095,2095,2235,7925,4811
J3B,Saint-Jean- sur-Richelieu Central,Quebec,QC,45.2832,-73.2792,12195,305,18555,30,0.9,2.1,2.7,8445,23395,31354,14367,8105,6745,8545,8545,4530,30525,14943
J3E,Sainte-Julie,Quebec,QC,45.5834,-73.3325,13635,65,16285,20,1.2,2.7,3.1,8685,26800,30002,10746,10515,7520,8760,8760,2495,29350,10876
J3G,Beloeil West,Quebec,QC,45.5946,-73.2283,13635,110,16210,50,1,2.5,2.8,8920,25640,30358,12032,8910,7715,9010,9005,3905,29520,12346
J3H,Beloeil East,Quebec,QC,45.5527,-73.1755,13310,205,11530,15,1.1,2.5,2.9,7330,21745,25327,9831,7890,6445,7410,7410,3185,24705,10094
J3L,Chambly,Quebec,QC,45.4501,-73.2825,20680,360,22495,35,1.1,2.6,3,12590,37960,43978,16787,14370,10845,12745,12745,4475,43325,17270
J3M,Marieville,Quebec,QC,45.4334,-73.1659,3100,25,6755,15,0.9,2.3,2.8,2885,8170,10094,4201,2760,2475,2930,2930,1035,9800,4303
J3N,Saint-Basile- Le-Grand,Quebec,QC,45.5334,-73.2825,8120,60,8540,10,1.2,2.7,3,4935,15090,16736,6178,5800,4300,4990,4990,1440,16635,6235
J3P,Sorel Central,Quebec,QC,46.0365,-73.0665,5985,35,19320,15,0.8,2.1,2.6,7625,20160,25843,11912,5885,6590,7680,7685,5135,25150,12533
J3R,Sorel Southwest,Quebec,QC,46.0206,-73.1439,3645,35,9360,5,0.8,2,2.6,3795,9895,13176,6253,2920,3160,3815,3815,2730,12715,6557
J3T,Nicolet,Quebec,QC,46.2168,-72.6158,1650,5,5845,5,0.9,2.1,2.7,2105,5815,7828,3368,1940,1750,2125,2125,1250,7240,3515
J3V,Saint-Bruno,Quebec,QC,45.532,-73.3437,16275,560,8630,30,1.1,2.6,2.9,7660,22710,25751,9891,8290,6705,7715,7720,4295,25330,10066
J3X,Varennes,Quebec,QC,45.6834,-73.4325,9350,30,11475,15,1.2,2.6,3,6165,18725,20994,7894,7185,5305,6235,6235,1815,20815,8001
J3Y,Saint-Hubert Central,Quebec,QC,45.4906,-73.3991,28285,1650,27175,390,1.1,2.6,2.9,16950,49945,57744,22488,18265,14430,17250,17250,7105,57370,23030
J3Z,Saint-Hubert East,Quebec,QC,45.4913,-73.3953,2270,70,1820,45,1.4,3.2,3.3,1180,3990,4213,1308,1720,1065,1205,1205,150,4205,1331
J4B,Boucherville,Quebec,QC,45.591,-73.4361,23635,210,16755,60,1,2.5,2.8,12365,35500,40752,16236,12135,10895,12470,12470,6610,40085,16521
J4G,Longueuil North,Quebec,QC,45.5679,-73.4761,5380,75,4345,35,0.9,2.1,2.7,2765,7655,10075,4562,2605,2265,2790,2785,1150,9740,4666
J4H,Longueuil West,Quebec,QC,45.5372,-73.5056,8155,170,6025,70,0.8,1.8,2.6,3545,9170,14868,7910,2705,2895,3570,3565,3285,14005,8345
