Geo_Code,Region,Province,Province - Postal,Latitude,Longitude,English and French, English only,French only,Neither English nor French,Average number of children at home per census family,Average number of persons in private households,Average number of persons per census family,Census-family households,Number of census family persons,Population in 2011,Total Private dwellings occupied by usual residents,Total children in census families in private households,Total couple families by family structure and number of children,Total number of census families in private households: note 7,Total number of census families in private households: note 8,Total number of persons aged 65 years and over in private households,Total number of persons in private households,Total private dwellings
G3H,Pont-Rouge,Quebec,QC,46.7547,-71.6957,2095,10,6600,0,1,2.5,2.9,2610,7570,8705,3463,2635,2305,2630,2630,1035,8580,3609
G3J,Val-Bélair North,Quebec,QC,46.8603,-71.4752,3055,15,6110,0,1,2.5,2.9,2740,8000,9189,3673,2850,2385,2770,2765,770,9180,3738
G3K,Val-Bélair South,Quebec,QC,46.8315,-71.4429,5130,20,11055,5,1.1,2.6,3,4840,14450,16249,6253,5385,4185,4880,4880,935,16210,6340
G3L,Saint-Raymond,Quebec,QC,45.467,-73.6095,1785,10,7700,0,0.9,2.3,2.8,2810,7810,9632,4138,2490,2490,2830,2830,1620,9330,5515
G3M,Donnacona,Quebec,QC,46.6804,-71.7239,1370,5,4490,0,0.8,2.1,2.7,1710,4535,6242,2808,1340,1480,1715,1715,1155,5810,2905
G3N,Sainte-Catherine-de-la-Jacques-Cartier,Quebec,QC,46.8524,-71.6206,2900,15,5225,5,0.9,2.4,2.8,2555,7210,8170,3327,2310,2325,2575,2575,815,8140,4192
G3Z,Baie-Saint-Paul,Quebec,QC,47.4411,-70.4986,1285,5,5900,0,0.8,2.2,2.7,2015,5535,7337,3190,1700,1795,2040,2040,1425,7005,3620
G4A,Clermont,Quebec,QC,47.7184,-70.2276,370,0,2675,0,0.8,2.2,2.7,920,2475,3118,1393,760,790,925,925,595,3035,1437
G4R,Sept-Îles Southeast,Quebec,QC,50.8558,-67.0511,5410,155,15095,115,1.1,2.3,2.8,5815,16935,21117,8977,6305,4685,5945,5945,2825,20760,9632
G4S,Sept-Îles Northwest,Quebec,QC,50.2713,-66.3751,1105,55,4125,0,0.9,2.5,2.7,1690,4685,5285,2159,1530,1445,1710,1705,545,5285,2200
G4T,Les Îles-De-La- Madeleine,Quebec,QC,47.3999,-61.7996,2645,475,9550,0,0.8,2.3,2.7,3900,10740,12781,5382,3340,3425,3980,3980,2190,12550,6153
G4V,Sainte-Anne- Des-Monts,Quebec,QC,48.9711,-66.3082,770,10,6335,0,0.8,2.2,2.6,2030,5440,7149,3197,1685,1700,2060,2060,1235,6900,3417
G4W,Matane,Quebec,QC,48.8286,-67.522,2430,20,11885,5,0.8,2,2.6,4215,11030,14471,6904,3230,3560,4245,4245,2875,14080,7297
G4X,Gaspé,Quebec,QC,48.8334,-64.4819,4640,715,9670,0,0.8,2.3,2.7,4505,12245,15163,6438,3800,3875,4570,4570,2520,14725,6897
G4Z,Baie-Comeau Northeast,Quebec,QC,51.0872,-68.632,2365,10,7625,0,0.9,2.2,2.7,3045,8365,10105,4433,2645,2670,3055,3055,1385,9940,4683
G5A,La Malbaie,Quebec,QC,47.6575,-70.1559,1530,15,7270,10,0.8,2.2,2.7,2600,7090,8895,3896,2230,2240,2625,2625,1660,8700,4465
G5B,Port-Cartier,Quebec,QC,50.0334,-66.8655,1120,15,4915,5,0.9,2.3,2.8,1830,5120,6149,2634,1660,1615,1850,1850,755,6035,2787
G5C,Baie-Comeau Southwest,Quebec,QC,50.3474,-69.0411,1970,5,9965,5,0.9,2.2,2.7,3475,9470,12094,5274,3040,2925,3505,3500,1655,11565,5596
G5H,Mont-Joli,Quebec,QC,48.5839,-68.1921,960,0,5905,0,0.9,2.1,2.7,1910,5170,7184,3254,1650,1605,1920,1920,1345,6665,3395
G5J,Amqui,Quebec,QC,48.4638,-67.4313,730,5,5555,0,0.9,2.2,2.8,1820,5065,6330,2803,1665,1570,1830,1830,1015,6175,2959
G5L,Rimouski Central,Quebec,QC,48.4193,-68.5574,6955,25,22165,15,0.8,1.9,2.6,7740,20120,29801,14394,5835,6505,7780,7780,5295,27875,15436
G5M,Rimouski Northeast,Quebec,QC,48.4966,-68.458,1570,5,4755,0,0.9,2.5,2.8,1970,5615,6335,2563,1865,1770,1980,1975,630,6315,2646
G5N,Rimouski Southwest,Quebec,QC,48.3668,-68.4659,1595,10,6205,0,1,2.5,2.9,2405,6925,7821,3131,2340,2170,2410,2415,780,7800,3233
G5R,Rivière-du-Loup,Quebec,QC,47.8304,-69.5342,3845,10,15065,5,0.8,2.1,2.7,5275,14145,19452,8856,4270,4585,5290,5290,3115,18255,9541
G5T,Degelis,Quebec,QC,47.5473,-68.6431,475,0,2505,0,0.8,2.2,2.7,905,2455,3052,1359,760,790,910,905,590,2955,1516
G5V,Montmagny,Quebec,QC,46.9804,-70.5549,1795,10,9555,5,0.9,2.1,2.7,3170,8685,11485,5227,2765,2720,3200,3200,2325,11065,5509
G5X,Beauceville,Quebec,QC,46.2179,-70.7787,1195,0,5010,5,1,2.3,2.9,1795,5155,6363,2667,1795,1550,1810,1810,980,6150,2846
G5Y,Saint-Georges Central,Quebec,QC,46.1326,-70.6375,5550,10,16920,15,0.9,2.1,2.7,6415,17600,22925,10571,5795,5355,6455,6450,3360,22385,11319
G5Z,Saint-Georges Southeast,Quebec,QC,46.0642,-70.7118,1500,0,4810,0,1.1,2.4,3,1815,5425,6347,2607,1990,1610,1825,1825,795,6310,2688
G6A,Saint-Georges Northwest,Quebec,QC,46.1437,-70.6817,655,0,1375,0,1.2,2.7,3.1,590,1840,2033,760,725,520,595,590,70,2035,779
G6B,Lac-Megantic,Quebec,QC,45.5834,-70.8823,1825,10,6460,0,0.9,2.1,2.8,2350,6505,8403,3752,2115,2030,2360,2360,1445,8045,4175
G6C,Pintendre,Quebec,QC,46.7701,-71.0906,1710,5,5245,5,1.1,2.6,3,2075,6210,6968,2675,2310,1815,2080,2080,520,6935,2719
G6E,Sainte-Marie,Quebec,QC,46.434,-71.0117,3035,5,9645,5,1,2.3,2.9,3610,10450,12803,5476,3635,3190,3625,3630,1890,12560,5617
G6G,Thetford Mines,Quebec,QC,46.0937,-71.3054,4180,25,15170,15,0.8,2,2.6,5560,14725,19801,9300,4380,4760,5580,5585,4395,18810,9769
G6H,Black Lake,Quebec,QC,46.1002,-71.3733,1275,0,5860,0,0.8,2.2,2.7,2155,5920,7344,3174,1830,1920,2165,2170,1300,7070,3348
G6J,Saint-Etienne- De-Lauzon,Quebec,QC,46.6358,-71.3098,2870,0,7025,0,1.1,2.6,3,2970,8975,9902,3730,3375,2620,2985,2985,715,9855,3787
G6K,Saint- Redempteur,Quebec,QC,46.688,-71.3028,2715,10,5105,0,1.1,2.7,3,2350,7110,7831,2933,2650,2095,2365,2370,650,7815,2953
G6L,Plessisville,Quebec,QC,46.2186,-71.762,2415,5,12395,10,0.9,2.2,2.8,4295,12030,15013,6501,4005,3710,4315,4315,2490,14530,6657
G6P,Victoriaville Central,Quebec,QC,46.0529,-71.9477,6280,25,22895,70,0.8,2,2.7,7995,21380,29841,14046,6745,6605,8035,8035,6075,28245,14580
G6R,Victoriaville South,Quebec,QC,46.016,-71.9561,815,0,3345,5,1.1,2.8,3.1,1240,3815,4161,1493,1435,1130,1245,1245,330,4155,1522
G6S,Victoriaville East,Quebec,QC,46.0264,-71.8719,1055,5,3140,5,1,2.4,2.9,1255,3595,4204,1759,1280,1065,1260,1255,450,4200,1803
